mid,publish_time,user_name,user_link,content,source,weibo_link
4787670884811591,2022-07-05 0:45,榴莲酥er不吃榴莲,https://weibo.com/5214675628?refer_flag=1001030103_,跟朋友四个女孩在三里屯吃完饭在街边陪其中一个朋友打车身边出现两个男的 明显喝多了 一个人搀着另一个人喝多了的人就叫他s 搀s的人就叫他bs说“诶！”（冲着我们一声大喊）b说“不好意思不好意思 我兄弟喝多了”到此我们没有说话 并往边上再走了几步两人又靠了过来 b说“不好意思美女们我想帮我兄弟圆个梦，但是这话我不好意思说”这是s站到了我其中一个朋友身后说了一句“三千一晚行不行”打车的朋友拉着我们立刻离开去找车并嘱咐我们赶紧离开去找停车场的车等离开那里我们找到自己的车开走的路上我才得知刚才有这么一句话出现一句恶臭又熟悉的经典语录“三千行不行”“妹妹看看胸”“你多少钱一晚”这些话可能会出现在你的社交软件私信里，可能会出现在你跟朋友结束饭局等车的路边…我和另一位朋友都脾气很爆并对这样的事情深恶痛绝，如果刚才听见了绝对不会让这个事轻易过去但是在写下这段话的过程中 跟朋友聊天的过程中我越想越绝望 回到现实我发现我们真的无法反抗 那两个男的身高一米八以上体格很大 还喝了酒 如果我们真的发生口角甚至对抗 那我们只有死路一条 就像唐山那个女生一样 所以我哭了 我为我朋友担心我为生而为女担心唐山事件就在身边 她就是你你就是她 所以我们要不停发声 收起d,iPhone 12,https://weibo.com/5214675628/LAMIEkbIj?refer_flag=1001030103_
4787668942327124,2022-07-05 0:38,奶油琳_Cream,https://weibo.com/5330571056?refer_flag=1001030103_,//@岚家小辞:好的学校不仅教书育人，还能带来改变。意志消沉不是反抗，好好生活才是反抗 。 与其怨恨黑暗，不如成为对抗它的力量， 即便是细微萤火，但也名为希望。,住好房子！HarmonyOS设备,https://weibo.com/5330571056/LAMFw9Log?refer_flag=1001030103_
4787665549658067,2022-07-05 0:24,不喝冰可乐我真的活不下去,https://weibo.com/6618417916?refer_flag=1001030103_,我让钱鹏宇去洗脸 他全身都在反抗 ​,iPhone客户端,https://weibo.com/6618417916/LAMA2Ewvh?refer_flag=1001030103_
4787660402723012,2022-07-05 0:04,互相掰弯,https://weibo.com/5540278080?refer_flag=1001030103_,玩兰陵王的都是可怕之人 都是恶魔都是混蛋都是控制欲极强的臭人类 当我头上闪烁着恶魔来临的标记时 我害怕 我心虚 我难受 我心如刀割 我疯掉了他给我闷头一刀让我窒息让我晕眩让我无法反抗 我恨死你了兰陵王 ​,iPhone客户端,https://weibo.com/5540278080/LAMrKbqny?refer_flag=1001030103_
4787660072420117,2022-07-05 0:02,芋泥恶霸,https://weibo.com/1778181385?refer_flag=1001030103_,职场的核心思维就是不允许反抗 要是反抗就是没有大局观 去年的我可以给别人点烟 今年的我应该可以把烟塞进他嘴里 ​,iPhone客户端,https://weibo.com/1778181385/LAMrda9A9?refer_flag=1001030103_
4787659085972574,2022-07-04 23:58,能饮一卑无,https://weibo.com/6508948220?refer_flag=1001030103_,#拼多多 活体女童#把民众的眼睛捂上 耳朵堵住 于是缄默代替反抗 受害者不敢发声 义愤填膺者成了笑话 ​,OPPO Reno5 K 5G,https://weibo.com/6508948220/LAMpCp3JQ?refer_flag=1001030103_
4787657568159473,2022-07-04 23:52,KangYeseo,https://weibo.com/7506766086?refer_flag=1001030103_,玩兰陵王的都是可怕之人 都是恶魔都是混蛋都是控制欲极强的臭人类 当我头上闪烁着恶魔来临的标记时 我害怕我心虚 我难受 我心如刀割 我疯掉了他给我闷头一刀让我窒息让我晕眩让我无法反抗 恨死你了 ​,时代少年团的爆米花,https://weibo.com/7506766086/LAMnayeEp?refer_flag=1001030103_
4787657538799318,2022-07-04 23:52,东江溪洋,https://weibo.com/7700600594?refer_flag=1001030103_,记录片《德国国防军》（全5集4小时合集）【第一集：闪电战 The Blitzkrieg】【第二集：转折点 The Turning Point】【第三集：罪行 The Crimes】【第四集：反抗 Resisance】【第五集：结局 To the Bitter End】L思想品读的微博视频 ​,军事 · 视频社区,https://weibo.com/7700600594/LAMn7AV6u?refer_flag=1001030103_
4787649473154535,2022-07-04 23:20,A班的裴子瑜,https://weibo.com/5876135857?refer_flag=1001030103_,原来以前喜欢话少的人因为潜意识觉得话少的人好欺负不反抗 ​,iPhone客户端,https://weibo.com/5876135857/LAMa7deDB?refer_flag=1001030103_
4787648726303412,2022-07-04 23:17,Ma_visssss,https://weibo.com/1971097247?refer_flag=1001030103_,最近生活一地鸡毛 ，满脑子都是负面情绪，都觉得自己抑郁了对孩子的耐心给妹妹一点一点的磨灭了，就做个雾化都把她妈击垮了，硬的做不了不停反抗 抓都抓不住，软的睡着了做 ，一开机不久就醒，我真的太难了，太难了 ​,iPhone客户端,https://weibo.com/1971097247/LAM8UqrNW?refer_flag=1001030103_
4787646309859939,2022-07-04 23:08,我好快乐鸭嘎,https://weibo.com/7005042836?refer_flag=1001030103_,他们也想反抗 可是他们没办法 已经变得麻木 我还没有 我还有逃离的机会 反抗的勇气 ​,微博轻享版,https://weibo.com/7005042836/LAM50Fn1h?refer_flag=1001030103_
4787646121378268,2022-07-04 23:07,下一个十年和你一起,https://weibo.com/2205628111?refer_flag=1001030103_,薛之谦 薛还不来广东来巡演 我的dsp书包已经开始反抗 发霉两回了  你一来广东我们才能见着持久的太阳 你是我们的太阳@薛之谦 广东的梅雨天我真的快疯了 再下去怕我的纸质周边们也会熬不住 ​,薛之谦超话,https://weibo.com/2205628111/LAM4I5My8?refer_flag=1001030103_
